member,date_created,date_updated,id,email,name,badge,observed_id,active,comments,last_audio_ts,last_audio_ts_fract,last_proximity_ts,last_contacted_ts,last_voltage,last_seen_ts,last_unsync_ts,project,region
N7X3CND9H8,2019/5/28 12:56,2019/5/28 12:56,32,,Badge329,F7:EA:50:55:5C:C0,0,1,,1559048173,0,1559048173,0,0,0,0,1,Team1
O0GD44NFBO,2019/5/28 12:56,2019/5/28 12:56,31,,Badge328,EE:CB:D1:C6:00:4F,0,1,,1559048173,0,1559048173,0,0,0,0,1,Team1
8Y9U3OEV58,2019/5/28 12:56,2019/5/28 12:56,30,,Badge327,C2:E5:E8:61:33:F5,0,1,,1559048173,0,1559048173,0,0,0,0,1,Team1
VA9E73U4DV,2019/5/28 12:56,2019/5/28 12:56,29,,Badge326,DA:07:BA:0E:C8:C2,0,1,,1559048173,0,1559048173,0,0,0,0,1,Team1
YC4RB5ME6H,2019/5/28 12:56,2019/5/28 12:56,28,,Badge325,E3:29:13:AF:6B:83,0,1,,1559048173,0,1559048173,0,0,0,0,1,Team1
T7L77Z40R9,2019/5/28 12:56,2019/5/28 12:56,27,,Badge324,FD:F9:E2:AC:45:F2,0,1,,1559048173,0,1559048173,0,0,0,0,1,Team1
NMRG72219C,2019/5/28 12:56,2019/5/28 12:56,26,,Badge323,C9:E5:22:97:33:44,0,1,,1559048173,0,1559048173,0,0,0,0,1,Team1
9EYCQTSG1Z,2019/5/28 12:56,2019/5/28 12:56,25,,Badge322,E1:5F:6D:4B:B1:15,0,1,,1559048173,0,1559048173,0,0,0,0,1,Team1
VG7WS97T31,2019/5/28 12:56,2019/5/28 12:56,24,,Badge321,F1:80:02:28:3F:2F,0,1,,1559048173,0,1559048173,0,0,0,0,1,Team1
YMEJFJPF66,2019/5/28 12:56,2019/5/28 12:56,23,,Badge320,DD:6A:D3:0B:8F:A3,0,1,,1559048173,0,1559048173,0,0,0,0,1,Team1
8PK8VZWXP1,2019/5/28 12:56,2019/5/28 12:56,22,,Badge319,FE:9C:8A:27:BB:F7,0,1,,1559048173,0,1559048173,0,0,0,0,1,Team1
IKU71LTZ93,2019/5/28 12:56,2019/5/28 12:56,21,,Badge318,DF:35:94:E8:32:E9,0,1,,1559048173,0,1559048173,0,0,0,0,1,Team1
AUETXCID1K,2019/5/28 12:56,2019/5/28 12:56,20,,Badge317,FF:4D:85:E3:4F:E6,0,1,,1559048173,0,1559048173,0,0,0,0,1,Team1
JGMPJZAJJC,2019/5/28 12:56,2019/5/28 12:56,19,,Badge316,DA:B2:A3:57:13:B3,0,1,,1559048173,0,1559048173,0,0,0,0,1,Team1
YOMIDAL72I,2019/5/28 12:56,2019/5/28 12:56,18,,Badge315,C6:54:E8:EC:1E:D4,0,1,,1559048173,0,1559048173,0,0,0,0,1,Team1
OXARTM08UP,2019/5/28 12:56,2019/5/28 12:56,17,,Badge314,C1:1F:78:01:C5:0D,0,1,,1559048173,0,1559048173,0,0,0,0,1,Team1
EW805JKEIB,2019/5/28 12:56,2019/5/28 12:56,16,,Badge313,C6:30:CB:3B:5B:AA,0,1,,1559048173,0,1559048173,0,0,0,0,1,Team1
PTAOLIUAHM,2019/5/28 12:56,2019/5/28 12:56,15,,Badge312,EB:9B:80:0E:A1:9D,0,1,,1559048173,0,1559048173,0,0,0,0,1,Team1
89YYUWCROB,2019/5/28 12:56,2019/5/28 12:56,14,,Badge311,CC:8D:C0:15:D4:DC,0,1,,1559048173,0,1559048173,0,0,0,0,1,Team1
J9NE9U783O,2019/5/28 12:56,2019/5/28 12:56,13,,Badge310,FD:DD:2F:4A:A1:A5,0,1,,1559048173,0,1559048173,0,0,0,0,1,Team1
2JYFJA84HQ,2019/5/28 12:56,2019/5/28 12:56,12,,Badge309,CF:CC:95:B8:DB:66,0,1,,1559048173,0,1559048173,0,0,0,0,1,Team1
F4VB4QJ7G8,2019/5/28 12:56,2019/5/28 12:56,11,,Badge308,EA:7A:0A:F1:7A:F1,0,1,,1559048173,0,1559048173,0,0,0,0,1,Team1
